Filename,Series Title,Series ID,Seasonal Adjustment,Category,Relevance
SeriesReport-20251012014814_38bbe1.xlsx,"PPI Commodity data for Professional services (partial), not seasonally adjusted",WPU45,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20250911143614_19cfbf - Copy.xlsx,,LASST060000000000006,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20250911145402_d3d684 - Copy.xlsx,,LASST060000000000006,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20251012013339_c7b214.xlsx,,LNU04034205,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20251012014841_00ad01.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services (partial), not seasonally adjusted",WPU452,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014839_c35fdd.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services (partial), seasonally adjusted",WPS452,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012020935_607201.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services, excluding payroll, seasonally adjusted",WPS4521,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015022_423d56.xlsx,"PPI Commodity data for Professional services (partial)-Administrative and general management consulting services, not seasonally adjusted",WPU454101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015020_39a9c3.xlsx,"PPI Commodity data for Professional services (partial)-Administrative and general management consulting services, seasonally adjusted",WPS454101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015108_0bd6e7.xlsx,"PPI Commodity data for Professional services (partial)-Advertising agency services, not seasonally adjusted",WPU4551,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015106_dfcb16.xlsx,"PPI Commodity data for Professional services (partial)-Advertising and related services (partial), not seasonally adjusted",WPU455,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014930_c4da6b.xlsx,"PPI Commodity data for Professional services (partial)-Architectural and engineering services, not seasonally adjusted",WPU453,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014932_b12f39.xlsx,"PPI Commodity data for Professional services (partial)-Architectural and engineering services, seasonally adjusted",WPS453,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014942_c40a15.xlsx,"PPI Commodity data for Professional services (partial)-Engineering services, not seasonally adjusted",WPU4532,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014940_0907ea.xlsx,"PPI Commodity data for Professional services (partial)-Engineering services, seasonally adjusted",WPS4532,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014922_7afc20.xlsx,"PPI Commodity data for Professional services (partial)-Financial auditing, not seasonally adjusted",WPU452101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014924_6c437e.xlsx,"PPI Commodity data for Professional services (partial)-Financial auditing, seasonally adjusted",WPS452101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015026_62ed1a.xlsx,"PPI Commodity data for Professional services (partial)-Human resources consulting services, not seasonally adjusted",WPU45410201,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015120_b7eb4c.xlsx,"PPI Commodity data for Professional services (partial)-Information technology (IT) technical support and consulting services (partial), not seasonally adjusted",WPU456,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014818_68d6db.xlsx,"PPI Commodity data for Professional services (partial)-Legal services, not seasonally adjusted",WPU451,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014816_a36cfe.xlsx,"PPI Commodity data for Professional services (partial)-Legal services, seasonally adjusted",WPS451,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014820_9d70ac.xlsx,"PPI Commodity data for Professional services (partial)-Legal services, seasonally adjusted",WPS4511,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015016_cb7a2d.xlsx,"PPI Commodity data for Professional services (partial)-Management consulting services, not seasonally adjusted",WPU4541,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015014_1ff3cf.xlsx,"PPI Commodity data for Professional services (partial)-Management consulting services, seasonally adjusted",WPS4541,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014955_bba1e9.xlsx,"PPI Commodity data for Professional services (partial)-Management, scientific, and technical consulting services, not seasonally adjusted",WPU454,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014953_96d7ec.xlsx,"PPI Commodity data for Professional services (partial)-Management, scientific, and technical consulting services, seasonally adjusted",WPS454,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015040_e5100f.xlsx,"PPI Commodity data for Professional services (partial)-Marketing consulting services, not seasonally adjusted",WPU45410301,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015046_3beb2c.xlsx,"PPI Commodity data for Professional services (partial)-Marketing consulting services, not seasonally adjusted",WPU454103,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015054_3e30d1.xlsx,"PPI Commodity data for Professional services (partial)-Process, physical distribution, and logistics consulting services, not seasonally adjusted",WPU45410401,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014916_d7e488.xlsx,"PPI Commodity data for Professional services (partial)-Tax preparation and planning, not seasonally adjusted",WPU452102,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014914_995936.xlsx,"PPI Commodity data for Professional services (partial)-Tax preparation and planning, seasonally adjusted",WPS452102,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012013316_a360e7.xlsx,"All employees, thousands, insurance carriers and related activities, seasonally adjusted",CES5552400001,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012013403_fe1c79.xlsx,"Average hourly earnings of all employees, insurance carriers and related activities, not seasonally adjusted",CEU5552400003,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012013413_36f027.xlsx,"Average weekly hours of all employees, insurance carriers and related activities, not seasonally adjusted",CEU5552400002,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012015233_6707dc.xlsx,"PPI Commodity data for Commissions and fees from sales and administration of insurance policies (partial)-Commissions from sales of health and medical insurance, not seasonally adjusted",WPU421102,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012015229_15a6e7.xlsx,"PPI Commodity data for Commissions and fees from sales and administration of insurance policies (partial)-Commissions from sales of life insurance and annuities, seasonally adjusted",WPS421101,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014622_92ad37.xlsx,"PPI Commodity data for Insurance and annuities, not seasonally adjusted",WPU41,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014808_0320e1.xlsx,"PPI Commodity data for Insurance and annuities-Annuities, not seasonally adjusted",WPU4121,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014806_013f6a.xlsx,"PPI Commodity data for Insurance and annuities-Annuities, not seasonally adjusted",WPU412,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014742_9e6c99.xlsx,"PPI Commodity data for Insurance and annuities-Disability insurance, including accidental death, not seasonally adjusted",WPU411102,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014752_467f53.xlsx,"PPI Commodity data for Insurance and annuities-Health and medical insurance, not seasonally adjusted",WPU411103,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014748_1171ff.xlsx,"PPI Commodity data for Insurance and annuities-Health and medical insurance, seasonally adjusted",WPS411103,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014624_0db179.xlsx,"PPI Commodity data for Insurance and annuities-Insurance, seasonally adjusted",WPS411,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014735_043a76.xlsx,"PPI Commodity data for Insurance and annuities-Life insurance, not seasonally adjusted",WPU411101,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014801_0b53e9.xlsx,"PPI Commodity data for Insurance and annuities-Property and casualty insurance, not seasonally adjusted",WPU41110401,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
SeriesReport-20251012014758_e7dd15.xlsx,"PPI Commodity data for Insurance and annuities-Property and casualty insurance, not seasonally adjusted",WPU411104,Seasonally Adjusted,Insurance/Output,❌ Exclude (Insurance/Output)
